mortgage_advisor_name,consumer_1_email,consumer_2_email,consumer_1_email_validity,consumer_2_email_validity,consumer_1_name,consumer_2_name,consumer_1_phone_number,consumer_2_phone_number,consumer_1_phone_number_validity,consumer_1_dob,consumer_2_dob,consumer_1_correspondence_postcode,consumer_2_correspondence_postcode,property_address,property_value,mortgage_expiry_date,mortgage_start_date,mortgage_preferential_rate,mortgage_loan_amount,mortgage_property_value,mortgage_type,mortgage_payment_type,mortgage_lender,mortgage_loan_purpose,mortgage_scheme,mortgage_advisor_email,mortgage_account_number,mortgage_description,mortgage_charge,mortgage_pct_owned
Vanessa Abigail,way_country_able@example.com,,Valid,,Rachel Daniel,,7822268631,,Valid,1956-04-29,,,,"19 Product Whether Drive, Variousford, Availableland PR25 1ED",,2018-10-09,2023-08-01,2.2,144000,,owner-occupied,repayment,Leeds BS,purchase,fixed,art_miss_hit@example.com,,,first-charge,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanessa Abigail,have_chap_slight@example.com,sun_play_green@example.com,Valid,Valid,Laura Kathryn,Sam Wayne,7848852873,7576772256,Valid,1923-11-30,"Thursday, 28 September 1972",,,"120 Bottom Avenue, Universityton, Loadsex BB7 9FZ",,2021-05-01,2022-12-31,3.84,188735,348950,owner-occupied,repayment,Santander UK Plc,further-advance,fixed,art_miss_hit@example.com,,,first-charge,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanessa Abigail,leg_some_cause@example.com,town_plus_bloke@example.com,Valid,Risky,Benjamin Anthony,Adrian Jenni,7814312946,7531584912,Valid,1986-04-20,"Tuesday, 5 May 1936",,,"31 Throw Avenue, Occasionbury, Wasteshire YO43 4HN",,2021-06-11,2026-09-02,1.84,77740,238950,owner-occupied,repayment,Santander UK Plc,remortgage,fixed,art_miss_hit@example.com,,,first-charge,
Vanessa Abigail,much_experience_read@example.com,,Valid,,Ezra Emily,,7784115848,,Valid,1938-02-02,,,,"1 Complete Sense Avenue, Apartcester, Onshire WN7 3DB",,2021-04-28,2025-01-31,1.95,54150,395995,owner-occupied,repayment,Leeds BS,product-transfer,fixed,art_miss_hit@example.com,,,first-charge,
Vanessa Abigail,chap_trust_touch@example.com,middle_ten_head@example.com,Risky,Valid,Richard Faizan,Andrew Natalie,7578938644,7816255223,Valid,1953-04-12,"Tuesday, 15 June 1920",,,"6 Oppose Pound Close, Whetherbury, Whereshire TF4 3GS",,2022-05-03,2027-05-31,2.09,77865,,owner-occupied,repayment,Nationwide BS,purchase,fixed,art_miss_hit@example.com,,,first-charge,0
Vanessa Abigail,just_three_job@example.com,bottom_thousand_week@example.com,Valid,Valid,Adam Natalie,Rebecca Hannah,7546837861,7988595831,Valid,1989-04-20,"Tuesday, 9 December 1941",,,"238 Bottom Last Drive, Computebury, Drinksex PR7 7EN",,2021-11-05,2025-03-31,2.19,144656,314995,owner-occupied,repayment,Halifax,purchase,fixed,art_miss_hit@example.com,,,first-charge,
Vanessa Abigail,feel_find_common@example.com,,Valid,,Ian Evelyn,,7893343116,,Valid,1990-01-18,,,,"51 Rise Much Street, Monthworth, Pressureshire CA3 0FE",,2021-02-01,2024-03-31,2.34,177994,266041,owner-occupied,repayment,Nationwide BS,remortgage,fixed,art_miss_hit@example.com,,,first-charge,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
