mortgage_advisor_name,consumer_1_email,consumer_2_email,consumer_1_email_validity,consumer_2_email_validity,consumer_1_name,consumer_2_name,consumer_1_phone_number,consumer_2_phone_number,consumer_1_phone_number_validity,consumer_1_dob,consumer_2_dob,property_address,mortgage_expiry_date,mortgage_start_date,mortgage_preferential_rate,mortgage_loan_amount,mortgage_property_value,mortgage_type,mortgage_payment_type,mortgage_lender,mortgage_loan_purpose,mortgage_scheme,mortgage_advisor_email,consumer_1_ID,consumer_2_ID
Vanessa Abigail,way_country_able@example.com,No second consumer,Valid,No email,Rachel Daniel,No second consumer,7822268631.0,No second consumer,Valid,1956-04-29,No second consumer,"19 Product Whether Drive, Variousford, Availableland PR25 1ED",2018-10-09,2023-08-01,2.2,144000.0,246487.0,owner-occupied,repayment,Leeds BS,purchase,fixed,art_miss_hit@example.com,Rachel Daniel_1956-04-29,No second consumer
Vanessa Abigail,have_chap_slight@example.com,sun_play_green@example.com,Valid,Valid,Laura Kathryn,Sam Wayne,7848852873.0,7576772256.0,Valid,1923-11-30,28/09/1972,"120 Bottom Avenue, Universityton, Loadsex BB7 9FZ",2021-05-01,2022-12-31,3.84,188735.0,348950.0,owner-occupied,repayment,Santander UK Plc,further-advance,fixed,art_miss_hit@example.com,Laura Kathryn_1923-11-30,Sam Wayne_28/09/1972
Vanessa Abigail,leg_some_cause@example.com,town_plus_bloke@example.com,Valid,Risky,Benjamin Anthony,Adrian Jenni,7814312946.0,7531584912.0,Valid,1986-04-20,05/05/1936,"31 Throw Avenue, Occasionbury, Wasteshire YO43 4HN",2021-06-11,2026-09-02,1.84,77740.0,238950.0,owner-occupied,repayment,Santander UK Plc,remortgage,fixed,art_miss_hit@example.com,Benjamin Anthony_1986-04-20,Adrian Jenni_05/05/1936
Vanessa Abigail,much_experience_read@example.com,No second consumer,Valid,No email,Ezra Emily,No second consumer,7784115848.0,No second consumer,Valid,1938-02-02,No second consumer,"1 Complete Sense Avenue, Apartcester, Onshire WN7 3DB",2021-04-28,2025-01-31,1.95,54150.0,395995.0,owner-occupied,repayment,Leeds BS,product-transfer,fixed,art_miss_hit@example.com,Ezra Emily_1938-02-02,No second consumer
Vanessa Abigail,chap_trust_touch@example.com,middle_ten_head@example.com,Risky,Valid,Richard Faizan,Andrew Natalie,7578938644.0,7816255223.0,Valid,1953-04-12,15/06/1920,"6 Oppose Pound Close, Whetherbury, Whereshire TF4 3GS",2022-05-03,2027-05-31,2.09,77865.0,240634.6,owner-occupied,repayment,Nationwide BS,purchase,fixed,art_miss_hit@example.com,Richard Faizan_1953-04-12,Andrew Natalie_15/06/1920
Vanessa Abigail,just_three_job@example.com,bottom_thousand_week@example.com,Valid,Valid,Adam Natalie,Rebecca Hannah,7546837861.0,7988595831.0,Valid,1989-04-20,09/12/1941,"238 Bottom Last Drive, Computebury, Drinksex PR7 7EN",2021-11-05,2025-03-31,2.19,144656.0,314995.0,owner-occupied,repayment,Halifax,purchase,fixed,art_miss_hit@example.com,Adam Natalie_1989-04-20,Rebecca Hannah_09/12/1941
Vanessa Abigail,feel_find_common@example.com,No second consumer,Valid,No email,Ian Evelyn,No second consumer,7893343116.0,No second consumer,Valid,1990-01-18,No second consumer,"51 Rise Much Street, Monthworth, Pressureshire CA3 0FE",2021-02-01,2024-03-31,2.34,177994.0,266041.0,owner-occupied,repayment,Nationwide BS,remortgage,fixed,art_miss_hit@example.com,Ian Evelyn_1990-01-18,No second consumer
Vanessa Abigail,kind_active_settle@example.com,No second consumer,Valid,No email,Mark Paula,No second consumer,7889181573.0,No second consumer,Valid,1976-12-02,No second consumer,"192 Table Separate Avenue, Existton, Understandsex DN4 8FN",2021-09-01,2023-07-31,2.15,213000.0,214950.0,owner-occupied,repayment,Nationwide BS,product-transfer,fixed,art_miss_hit@example.com,Mark Paula_1976-12-02,No second consumer
Vanessa Abigail,increase_view_black@example.com,No second consumer,Valid,No email,Benjamin Lauren,No second consumer,7989514743.0,No second consumer,Valid,1949-12-11,No second consumer,"69 Moment Dry Road, Longham, Importantshire DN4 8FL",2021-11-01,2024-06-30,4.19,201209.0,204194.0,owner-occupied,repayment,NatWest,purchase,fixed,art_miss_hit@example.com,Benjamin Lauren_1949-12-11,No second consumer
Vanessa Abigail,lose_make_office@example.com,travel_because_income@example.com,Valid,Valid,Rachael Matthew,Allan Folashade,7751783724.0,7788672613.0,Valid,1975-08-01,24/06/1940,"54 Surprise Street, Uniteby, Involveland BB7 9FZ",2021-05-28,2023-09-02,2.64,202460.0,222588.0,owner-occupied,repayment,Skipton BS,product-transfer,fixed,art_miss_hit@example.com,Rachael Matthew_1975-08-01,Allan Folashade_24/06/1940
